"Story","Title","Result","Date","Stability","Duration (s)"
"Primeiro test","This is a pending test","PENDING","2018-03-07T02:07:50.577-03:00[America/Sao_Paulo]","0.0","0.83"
"Primeiro test","This is a skip test","PENDING","2018-03-07T02:07:51.412-03:00[America/Sao_Paulo]","0.0","0.42"
