"Story","Title","Result","Date","Stability","Duration (s)"
"Primeiro test","This isa failing test","SUCCESS","2018-03-07T02:07:36.759-03:00[America/Sao_Paulo]","0.0","12.89"
"Primeiro test","This is a pending test","PENDING","2018-03-07T02:07:50.577-03:00[America/Sao_Paulo]","0.0","0.83"
"Primeiro test","This is a skip test","PENDING","2018-03-07T02:07:51.412-03:00[America/Sao_Paulo]","0.0","0.42"
"Primeiro test","Este teste irá fazer um get em tudo","SUCCESS","2018-03-07T02:07:51.835-03:00[America/Sao_Paulo]","0.0","0.83"
